file_extension,genre_type
"wav","sound"
"","sound"
"wav","sound"
"aaf","moving-image; sound"
"aif; aiff; ief","sound"
"cpc; cpi","still-image"
"raw","sound"
"","sound"
"mxf","moving-image"
"xml","text"
"","sound"
"","still-image"
"jpg; jpeg; jpe; jfi; jfif; j; jif; jmh; jls","still-image"
"jpg; jpeg; spf; spiff; jls","still-image"
"svg","still-image"
"vsdx","still-image"
"tif; tiff","still-image"
"","still-image"
"","still-image"
"","moving-image; sound"
"ogg","sound; moving-image"
"wma","sound"
"mpg; mpeg","moving-image"
"ps","text"
"pdf","text; still-image"
"sid","still-image"
"mpg; mpeg","moving-image"
"mpg; mpeg","moving-image"
"mpg; mpeg","moving-image"
"mpg; mpeg","moving-image"
"","sound"
"mp4","moving-image"
"","sound"
"","sound"
"svg; svgz","still-image"
"mp4","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"rm; rv; rmvb","moving-image"
"rm; ra","sound"
"mov; qt; m4p; mp3; qtif; qti; qif","moving-image; sound"
"opf; xml; ncx; aac; mp3; wav","text; sound"
"opf; xml","text"
"","sound"
"","sound"
"","sound"
"","sound"
"avi","moving-image"
"avi","moving-image"
"avi","moving-image"
"avi","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"asf","moving-image; sound"
"avi; gvi","moving-image"
"","moving-image"
"","still-image"
"tif; tiff","still-image"
"","still-image"
"xml","text"
"dtd","text"
"xsd","text"
"","text"
"","moving-image; sound; still-image"
"","moving-image"
"","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"mp4","moving-image"
"","moving-image"
"mov","moving-image"
"mov","moving-image"
"mov","moving-image"
"mov","moving-image"
"mov","moving-image"
"wmv","moving-image"
"","sound"
"","sound"
"","sound"
"","moving-image"
"","moving-image"
"wma","sound"
"wma","sound"
"wma","sound"
"","moving-image"
"","moving-image"
"","sound"
"aa","sound"
"aa","sound"
"mp3","sound"
"","sound"
"","sound"
"","sound"
"","sound"
"m4p; m4b","sound"
"mp3","sound"
"aac","sound"
"aac","sound"
"","any"
"aif","sound"
"ogg","sound"
"dls","sound"
"mid; midi","sound"
"rmi","sound"
"xmf; mxmf ","sound"
"pdf","text; still-image"
"pdf","text; still-image"
"pdf","still-image; text"
"pdf","text"
"669; amf; dmf; far; it; med; mod; mt2; mtm; okt; s3m; stm; ult; wow; xm; 669; dmf; far; it; med; mtm; okt; s3m; xm","sound"
"mj2; mjp2","moving-image"
"","moving-image"
"swf","moving-image"
"flv","moving-image"
"fla","moving-image"
"gif","still-image"
"","still-image"
"","still-image"
"mp4","moving-image"
"j2c","still-image"
"","still-image"
"","still-image"
"","still-image"
"","sound"
"jp2","still-image"
"jpm","still-image"
"TIF","still-image"
"","still-image"
"jpg","still-image"
"","still-image"
"","still-image"
"","still-image"
"png","still-image"
"jpf; jpx","still-image"
"mp4; m4a","moving-image"
"xmt","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","other"
"","still-image"
"","still-image"
"","still-image"
"","still-image"
"opf; xml","text"
"dv; dif","moving-image"
"xml","text"
"xml","text"
"","moving-image"
"","moving-image"
"dpx","moving-image"
"tga; vda; icb; vst","still-image"
"tga","still-image"
"","moving-image"
"sid","still-image"
"dng; tif","still-image"
"bmp","still-image"
"avi","moving-image"
"","still-image"
"","still-image"
"j2c","still-image"
"","still-image"
"j2c","still-image"
"","still-image"
"flac; fla","sound"
"shn","sound"
"","moving-image"
"","moving-image"
"","moving-image"
"aes","sound"
"ac3","sound"
"j2c","moving-image"
"","moving-image; still-image"
"j2c","moving-image"
"","moving-image; still-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"cdf","dataset"
"","sound"
"hdf","dataset"
"h5","dataset"
"","sound"
"dts","sound; moving-image"
"","sound"
"","sound"
"arc","aggregate"
"warc","aggregate"
"tif; tiff; ptif","still-image"
"","moving-image"
"cr2; crw; dcr; kdc; mrw; nef; orf; pef; raf; srf; arw; x3f; iiq; cap; capture","still-image"
"","still-image"
"hdp; wdp","still-image"
"","still-image"
"dff; dft; df0; df1; df2; df3; df4; df5; df6; df7; df8; df9","sound"
"eps; epi; epsf; epsi","still-image"
"","text; spreadsheet; presentation; dataset; any"
"swf","moving-image"
"pdf","text"
"pdf","text"
"","sound"
"amr; 3gp","sound"
"","sound"
"opf; xml; ncx; amr; aac; mp3; wav","sound; text"
"","sound"
"spx","sound"
"xml","text"
"xml","text"
"","moving-image"
"","moving-image"
"opf; xml; ncx; mp4; mp3; wav","text; sound"
"pdf","text"
"pdf","text"
"epub","text"
"tif; tiff; gtiff","still-image"
"shp; shx; dbf; sbn; sbx; atx; fbn; fbx; ain; aih; ixs; mxs; prj; xml; cpg","dataset"
"adf; dat; nit; stk","dataset"
"thf; cph; gen; qal; ovr; img; sou; lgg","still-image"
"bil","still-image"
"adf; rat; sec; pat; txt; nit; dat; dir","dataset"
"dem","dataset"
"ddf; tar.gz","dataset"
"tfw; tifw; jgw; jpgw; pgw; bpw; bipw; bmpw; blw; bilw; bqw; bsqw; btw; rcw; rlcw; sdw","still-image"
"bip","still-image"
"bsq","still-image"
"doq","still-image"
"e00","dataset"
"tif; fgd; tfw","still-image"
"","database"
"gdb","database"
"xml","database"
"gml","dataset"
"hdf; hdfeos; he2; he4","dataset"
"","still-image"
"","still-image"
"tab; dat; id; map; ind","dataset"
"","dataset"
"","dataset; database"
"jpx; jp2","still-image"
"","still-image"
"","still-image"
"","still-image"
"ddf","dataset"
"epub","text"
"epub","text"
"epub","text"
"epub","text"
"","still-image"
"pdf","text"
"pdf","text"
"","still-image"
"pdf","text; still-image"
"fits","dataset"
"pdf","text"
"pdf","text"
"pdf","text"
"pdf","text"
"pdf","text"
"csv","dataset"
"dat","dataset"
"dbf","dataset; database"
"dbf","dataset; database"
"map.xml","dataset"
"btf; tf8; tif; tiff; gtiff","still-image"
"","database"
"nc","dataset"
"nc","dataset"
"","still-image"
"","still-image"
"mpg; mpeg","moving-image"
"","moving-image"
"","moving-image"
"mp2","sound"
"nc","dataset"
"kml","dataset"
"","moving-image"
"mkv; mka; mks; mk3d","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"iso","any"
"","moving-image"
"pdf","text"
"","moving-image"
"","moving-image"
"","moving-image"
"zip; ZIP","aggregate"
"zip; ZIP","aggregate"
"wav","sound"
"wav","sound"
"xml; musicxml","other"
"wav","sound"
"pdf","text"
"zip; ZIP","aggregate"
"zip; ZIP","aggregate"
"","aggregate"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"","moving-image"
"pst","text"
"","text"
"msg","text"
"","text; spreadsheet; moving-image"
"json","dataset"
"json","dataset"
"mbox","text"
"","text"
"","text"
"","text"
"","text"
"eml","text"
"","moving-image"
"","moving-image"
"cca","text"
"","text; moving-image; spreadsheet"
"","text"
"ics; ifb","text"
"docx; xlsx; pptx","text; spreadsheet; presentation; dataset; any"
"","any"
"docx","text"
"xlsx","spreadsheet"
"pptx; ppsx","presentation"
"docx","text"
"xlsx","spreadsheet"
"pptx","presentation"
"","moving-image"
"","moving-image"
"","moving-image"
"","any"
"s01","any"
"E01","any"
"L01","any"
"Ex01","any"
"Lx01","any"
"AFF","any"
"","any"
"las","dataset"
"gpkg","dataset"
"img; ige","still-image"
"asc","dataset"
"flt; hdr","dataset"
"","aggregate"
"","aggregate"
"siard","database"
"odt","text"
"odt; ott; odm","text"
"mov","moving-image"
"","text"
"","text"
"html","text"
"nsf","database"
"odp; otp","presentation"
"odg; otg","still-image"
"odc; otc","still-image"
"ods; ots","spreadsheet"
"ods; ots","spreadsheet"
"mat","dataset"
"odb","database"
"","moving-image"
"es; js","text"
"dwg","still-image; model"
"dxf","still-image; model"
"ifc","model"
"stp; step; p21","text"
"exp","text"
"rar ; rev; r00","aggregate"
"xml","text"
"xml","text"
"xml","text"
"aw","text"
"pfc","database"
"","aggregate"
"","aggregate"
"","aggregate"
"","aggregate"
"db; sqlite; db3; sqlite3","database"
"mdb","database"
"accdb","database"
"xpt","dataset"
"sgm; sgml","text"
"xpt","dataset"
"","dataset"
"por","dataset"
"sav; zsav","dataset"
"rda; rdata","dataset"
"dta","dataset"
"mobi; prc","text"
"rtf","text"
"pdf","text"
"html; htm","text"
"","text"
"","text"
"","text"
"","text"
"","text"
"html; htm; xhtml; xht","text"
"css","text"
"xhtml; xht; html; htm","text"
